source,gen,id,question,ground_truth,hop_type,pipeline,is_coverage_error,predictions,score,faithfulness,sbert_cosine
Arem arem originates from the country of Indonesia where Joko Widodo is the leader and Indonesian is the language.,The leader of the country where Arem arem originates is Joko Widodo.,lettria_001,Who is the leader of the country where Arem arem originates?,Joko Widodo,t5,rag,False,"{'HALL': 0.04720047116279602, 'NOHALL': 0.9527994990348816}",0.04720047116279602,0.952799528837204,0.5914106369018555
"Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.",Darinka Dentcheva studied at Humboldt University.,lettria_002,Where did Darinka Dentcheva study?,Humboldt University,t5,rag,False,"{'HALL': 0.9511327743530273, 'NOHALL': 0.04886718466877937}",0.9511327743530273,0.048867225646972656,0.5099390745162964
"Agustin Barboza was born in Paraguay and died in Asuncion, Gran Asunción.","Agustin Barboza was born in Asunción, Paraguay.",lettria_003,Where was Agustin Barboza born?,Paraguay,t5,rag,False,"{'HALL': 0.002967294305562973, 'NOHALL': 0.997032642364502}",0.002967294305562973,0.997032705694437,0.45645657181739807
"Akeem Ayers, who was number 39 in the draft pick, is currently a member of the Los Angeles Rams, having previously played with the New England Patriots.",Akeem Ayers previously played for the St. Louis Rams and the New England Patriots.,lettria_004,What team did Akeem Ayers previously play for?,New England Patriots,t5,rag,False,"{'HALL': 0.02837251126766205, 'NOHALL': 0.9716274738311768}",0.02837251126766205,0.971627488732338,0.3725791573524475
"The comic character Bolt was created by Gary Cohn and Ernie Colon, the latter of which is a Puerto Rican national.",The comic character Bolt was created by Paris Cullins and Ernie Colón.,lettria_005,Who created the comic character Bolt?,Gary Cohn and Ernie Colon,t5,rag,False,"{'HALL': 0.9950801134109497, 'NOHALL': 0.00491986284032464}",0.9950801134109497,0.004919886589050293,0.38437357544898987
"1147 Stavropolis, an asteroid, discovered on 11 June 1929 with absolute magnitude of 11.5, has an apoapsis of 418476000000.0 AU.","The apoapsis of the asteroid discovered on 11 June 1929, which is 1147 Stavropolis, is 418,476,000,000.0 AU.",lettria_006,What is the apoapsis of the asteroid discovered on 11 June 1929?,418476000000.0 AU,t5,rag,False,"{'HALL': 0.6937469244003296, 'NOHALL': 0.3062530755996704}",0.6937469244003296,0.3062530755996704,0.30703508853912354
"1147 Stavropolis, discovered by Grigory Neujmin, has an absolute magnitude of 11.5.",1147 Stavropolis was discovered by Grigory Neujmin.,lettria_007,Who discovered 1147 Stavropolis?,Grigory Neujmin,t5,rag,False,"{'HALL': 0.8570920825004578, 'NOHALL': 0.14290788769721985}",0.8570920825004578,0.14290791749954224,0.5527874231338501
The United States is the country of Bacon Explosion. Barack Obama is the leader and Washington D.C. is the capital.,"Based on the provided context, the leaders mentioned for the United States (the country where the Bacon Explosion comes from) are Paul Ryan, John Roberts, and Joe Biden. However, the most accurate and current leader among them is Joe Biden, as he is the President of the United States. Therefore, the leader of the country where the Bacon Explosion comes from is Joe Biden.",lettria_008,Who is the leader of the country where Bacon Explosion comes from?,Barack Obama,t5,rag,False,"{'HALL': 0.9614595770835876, 'NOHALL': 0.03854040428996086}",0.9614595770835876,0.038540422916412354,0.3924601674079895
Pop rock is the genre of the band Train.,The genre of the band Train is pop rock.,lettria_009,What is the genre of the band Train?,Pop rock,t5,rag,False,"{'HALL': 0.010274948552250862, 'NOHALL': 0.9897251129150391}",0.010274948552250862,0.9897250514477491,0.6538351774215698
The A Rosa Luna is powered by a MTU Friedrichshafen engine. It was built by Neptun Werft in Rostock.,The A-Rosa Luna was built by Neptun Werft in Rostock.,lettria_010,Who built the A Rosa Luna?,Neptun Werft,t5,rag,False,"{'HALL': 0.08236614614725113, 'NOHALL': 0.9176338911056519}",0.08236614614725113,0.9176338538527489,0.462257981300354
